id,name,TrackingID
20349,AS3Cube,
20349,AS3Demo,NULL
20349,test,NULL
20349,WideSky,NULL
20350,charter300,NULL
20350,TESTCOVERADTAGCHARTER,NULL
20351,FutureFordClovis,NULL
20352,160TestTag4,NULL
20352,300x250,NULL
20352,3point6PostLaunchTest1,NULL
20352,AutoTest,NULL
20352,AutoTest2,NULL
20352,coverTest1,NULL
20352,DuplicateTest1,NULL
20352,test12,NULL
20353,entercom,
20354,MLife,NULL
20355,WaldofAutoOutlet,NULL
20356,KOLO,NULL
20357,KPAX3,NULL
20358,KDVR,NULL
20358,Rectangle,NULL
20359,IVDB,NULL
20360,IVDB,NULL
20361,IVDB,NULL
20362,IVDB,NULL
20363,Leaderboard,NULL
20363,Rectangle,NULL
20364,BonnerSpringsFord,NULL
20364,BonnerSpringsFordSSL,NULL
20365,Papik,NULL
20366,Marin,NULL
20366,marin160,NULL
20366,Marin300,NULL
20367,JohnKeatingChevrolet,NULL
20368,ToyotaSunnyvale,NULL
20369,AolLeaderboard,NULL
20369,AolMediumRectangle,NULL
20369,AolNarrowSky,NULL
20369,AolWideSky,NULL
20370,SubaruCherryHill,NULL
20371,HonoluluORTC,NULL
20372,Boba,NULL
20372,Lando,NULL
20372,Leia,NULL
20372,Luke,NULL
20373,mailtest,NULL
20374,CCAR,NULL
20374,Luke,NULL
20374,r2d2,NULL
20375,BaytownNissan,NULL
20375,BaytownNissan160x600,NULL
20376,JMBEnterprises,NULL
20377,PrestigeVolkswagen,NULL
20378,SoutheasternHonda,NULL
20379,BMWImportedCarStore,NULL
20380,KellerWilliamsWest,NULL
20381,FortMeyersRestaurants,NULL
20382,KAKE,NULL
20383,test,NULL
20384,Sunbelt2,NULL
20384,SunbeltChryslerJeepDodge,NULL
20385,GrouponDemo,NULL
20385,Leaderboard,NULL
20385,Rectangle,NULL
20386,KATC,NULL
20387,KVOA300,NULL
20387,KVOA728,NULL
20388,SunbeltHonda,NULL
20388,SunbeltHonda2,NULL
20389,AT160,NULL
20389,AT728,NULL
20389,Cars160,NULL
20389,Cars728,NULL
20389,Edmunds300,NULL
20389,Edmunds728,NULL
20390,CruzeDallasAT160,NULL
20390,CruzeDallasAT728,NULL
20390,CruzeDallasCars160,NULL
20390,CruzeDallasCars728,NULL
20390,CruzeDallasEdmunds300,NULL
20391,KJRH728,NULL
20392,NBCUniMediumRectangle,NULL
20393,TreasureCoastToyotaScion,NULL
20394,WhittenBrosAshland,NULL
20395,FutureFordRoseville,NULL
20396,DorianFord,NULL
20397,TreasureCoastLexus,NULL
20397,TreasureCoastLexusAS3,
20398,LeaderBoard,NULL
20398,Rect,NULL
20398,RectRight,NULL
20398,SkyScraper,NULL
20399,Moore160,NULL
20399,Moore300,NULL
20400,ComcastTestJanuary2011,
20400,HearstTest300x250,NULL
20401,AT300Monroe,NULL
20401,MonroeAT160,NULL
20401,MonroeAT728,NULL
20401,MonroeCars160,NULL
20401,MonroeCars728,NULL
20401,MonroeEdmunds300,NULL
20402,ShreveAT160,NULL
20402,ShreveAT300,NULL
20402,ShreveAT728,NULL
20402,ShreveCars160,NULL
20402,ShreveCars728,NULL
20402,ShreveEdmunds300,NULL
20403,ChicagoAT160,NULL
20403,ChicagoAT728,NULL
20403,ChicagoCars160,NULL
20403,ChicagoCars728,NULL
20403,ChicagoEdmunds300,NULL
20404,WSYR,NULL
20404,WSYR300,NULL
20405,Charter,NULL
20406,Moore160,NULL
20407,MetroLincolnofGardencityTaylor,NULL
20407,MetroLincolnofGardencityWestland,NULL
20407,MetropolitanLincolnGardenCity,NULL
20408,SuburbanSubaru300x250,NULL
20408,SuburbanSubaruNoCoverPage,NULL
20409,WAOW300,NULL
20410,DamonMichels,NULL
20411,KeyBuick,NULL
20412,KeyHyundai,NULL
20413,AstroFord160,NULL
20413,AstroFord300,NULL
20413,AstroFord728,NULL
20414,IVDB,NULL
20414,RotoloIBVVideoOnly,
20415,WAOW300,NULL
20416,TEST300,NULL
20417,Leader,NULL
20417,NarrowSky,NULL
20417,Rect,NULL
20417,RectRight,NULL
20418,160NE,NULL
20418,300600,
20418,m2,NULL
20418,TEST300,NULL
20418,TESTCOVER,NULL
20419,Planet_Money,NULL
20419,PleaseWork,NULL
20419,test,NULL
20420,BillMacDonaldFord,NULL
20420,BillMacDonaldSecureAS3,NULL
20420,FXNC300x250NonFlash,_BL5b5cca0__
20420,Xfinity300x250NonFlash,_BL0354f0e__
20421,DamonMichelsUpload,NULL
20422,JackAezenUpload,NULL
20423,KarKorner,NULL
20424,BoulevardAutoSales,NULL
20425,JacksonAT160,NULL
20425,JacksonAT300,NULL
20425,JacksonAT728,NULL
20425,JacksonCars160,NULL
20425,JacksonCars728,NULL
20425,JacksonEdmunds300,NULL
20426,AT300Houston,NULL
20426,HoustonAT160,NULL
20426,HoustonAT728,NULL
20426,HoustonCars160,NULL
20426,HoustonCars728,NULL
20426,HoustonEdmunds300,NULL
20427,RichRobot,NULL
20428,JeffHaas160x600,NULL
20428,JeffHaasMazda,NULL
20428,JeffHaasMazda160x600NonExpand,NULL
20428,JeffHaasMazdaClassicAS3,NULL
20429,BeachBlvdAS3,
20429,BeachBlvdAS3300x250NF,_BLc5871fe__
20429,BeachBlvdAutomotive,
20429,BeachBlvdSECURE,
20430,BaytownHyundai,NULL
20430,BaytownHyundai160x600,NULL
20431,VoskiJewelers,NULL
20432,WCPO728,NULL
20433,WCPO728cole,NULL
20434,WCPO728Flo,NULL
20435,KDVR300,NULL
20435,KSBY728,NULL
20436,AT160StLouis,NULL
20436,AT728StLouis,NULL
20436,Cars160StLouis,NULL
20436,Cars728StLouis,NULL
20436,Edmunds300StLouis,NULL
20437,PruAdv728,NULL
20437,Prudential300x250,NULL
20437,Prudentialcarousel,NULL
20438,300x600ibv,
20438,RealEstateDemo,NULL
20438,TEST160RE,NULL
20439,SkoreITLeaderboard,NULL
20439,SkoreITRectangle,NULL
20439,SkoreITSkyscraper,NULL
20440,LeaderBoard,NULL
20440,narrow,NULL
20440,Rectangle,NULL
20440,SkyScraper,NULL
20441,DEMOTAG,NULL
20441,NEW300x250,NULL
20441,radioonerich,NULL
20442,fxcaprarachevy1,NULL
20442,fxcaprarachevy1lb,NULL
20442,fxcaprarachevy1ssl,NULL
20442,fxcaprarachevy2,NULL
20442,fxcaprarachevy2lb,NULL
